Text,Text1,Text2,Text3,Text4
무슈제이,무슈제이 세라부스트 올인원 200ml,피부가 건조하고 푸석한 모든 남성,"정제수, 소듐코코일이세티오네이트, 글리세린, 코코-베타인, 하이드록시프로필스타치포스페이트, 글리세릴스테아레이트, 포타슘코코일글리시네이트, 세테아릴올리베이트, 카올린, 솔비탄올리베이트, 다이프로필렌글라이콜, 1,2-헥산다이올, 칼라민, 보검선인장열매추출물, 트레할로오스, 폴리글리세릴-10미리스테이트, 세틸에틸헥사노에이트, 에틸헥실팔미테이트, 카프릴릭/카프릭트라이글리세라이드, 부틸렌글라이콜, 약모밀추출물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 비피다발효용해물, 흰버드나무껍질추출물, 병풀추출물, 치자추출물, 테레프탈릴리덴디캠퍼설포닉애씨드, 소듐클로라이드, 하이드록시아세토페논, 다이소듐이디티에이, 에틸헥실글리세린, 덱스트린",올인원
더마라인,더마라인 PDRN 솔루션 액티빙 에멀전 200ml,모든 피부타입,"정제수, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 나이아신아마이드, 에틸헥실팔 미테이트, 1,2-헥산다이올, 글리세레스-26, 글리세릴스테아레이트, 스쿠알란, 올리브오일, 코코-카프릴 레이트/카프레이트, 트레할로오스, 폴리솔베이트60, 글리세릴스테아레이트에스이, 세테아릴올리베이트, 세틸알코올, 솔비탄올리베이트, 솔비탄아이소스테아레이트, 카보머, 알지닌, 토코페릴아세테이트, 판테놀, 다마스크장미추출물, 비타민나무수, 효모추출물, 스테아릴알코올, 암모늄아크릴로일다이메틸타우레이트/ 브이피코폴리머, 베타인, 소듐디엔에이(1,000ppm), 알란토인, 프로판다이올, 다이포타슘글리시리제이트, 알로에베라잎추출물, 아데노신, 옥틸도데칸올, 소듐하이알루로네이트, 다이소듐이디티에이, 하이드로제네 이티드레시틴, 세라마이드엔피, 마데카소사이드, 캐비아추출물, 말토덱스트린, 바이오사카라이드검-1, 폴 리그리세릴-10라우레이트, 하이드롤라이즈드옥수수전분, 아시아티코사이드, 띠뿌리추출물, 수크로오스, 트라이에탄올아민, 카프릴릴글라이콜, 한련초잎추출물, 에틸헥실글리세린, 덱스트린, 칼슘카보네이트, 하 이드록시프로필메틸셀룰로오스, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-11, 헥사펩타이드-9",로션
제로이드,[11월 올영픽] 제로이드 인텐시브 로션 160ml 기획 (+크림 25ml),모든 피부용,"인텐시브 로션 : 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 세테아릴알코올, 올리브오일, 솔비탄스테아레이트, 식물성스쿠알란, 다이메티콘, 스테아릭애씨드, 1,2-헥산다이올, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 메틸카프로오일타이로지네이트, 세틸팔미테이트, 솔비탄팔미테이트, 솔비탄올리베이트, 글리세릴스테아레이트, 카놀라오일, 피토스테롤, 토코페릴아세테이트, 비사보롤, 잔탄검, 카보머, 알지닌, 소듐하이알루로네이트, 글리세릴스테아레이트에스이, 메틸글루코오스세스퀴스테아레이트, 카프릴릴글라이콜, 다이소듐이디티에이
인텐시브 크림 : 정제수, 프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 식물성스쿠알란, 세테아릴알코올, 폴리글리세릴-10다이스테아레이트, 글리세릴스테아레이트, 스테아릭애씨드, 다이메티콘, 1,2-헥산다이올, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 피토스테롤, 토코페릴아세테이트, 카놀라오일, 올리브오일, 세틸팔미테이트, 솔비탄팔미테이트, 솔비탄올리베이트, 비사보롤, 메틸카프로오일타이로지네이트, 잔탄검, 소듐하이알루로네이트, 카보머, 알지닌, 카프릴릴글라이콜",로션
에스트라,[블프특가] 에스트라 아토베리어365 로션 대용량 300ml 기획 (+30ml+세라-히알 앰플 7ml),모든 피부용..,"정제수, 부틸렌글라이콜, 글리세린, 다이메티콘, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 베타인, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 카프릴릭/카프릭트라이글리세라이드, 팔미틱애씨드, 1,2-헥산다이올, 스테아릭애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글리세릴스테아레이트, 하이드록시프로필비스팔미타마이드엠이에이, 글리세릴스테아레이트시트레이트, 콜레스테롤, 나이아신아마이드, 다이메티콘올, 하이드록시프로필비스라우라마이드엠이에이, 베헤닐알코올, 글리세릴카프릴레이트, 카보머, 다이소듐이디티에이, 에틸헥실글리세린, 트로메타민, 솔비탄아이소스테아레이트, 피토스핑고신, 만니톨, 세라마이드엔피, 토코페롤, 하이드로제네이티드레시틴, 아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카, 스핑고리피드, 아라키딕애씨드, 올레익애씨드",로션
오브제,[NEW]오브제 포어 제로 오일 컨트롤 로션 70ml,모든피부타입,"정제수, 프로판다이올, 메틸메타크릴레이트크로스폴리머, 나이아신아마이드, 1,2-헥산다이올, 카우슬립추출물, 녹차추출물, 티트리추출물, 달맞이꽃꽃추출물, 당느릅나무뿌리추출물, 대왕소나무잎추출물, 칡뿌리추출물, 에난티아 클로란타껍질추출물, 녹차수, 티트리잎수, 티트리잎오일, 옥틸도데칸올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 메틸프로판다이올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 하이드록시아세토페논, 폴리에스터-5, 바쿠치올, 에틸헥실글리세린, 수크로오스, 아데노신, 솔비탄아이소스테아레이트, 판테놀, 부틸렌글라이콜, 토코페롤, 시트릭애씨드, 에피갈로카테킨갈레이트, 올레아놀릭애씨드",로션
LBB,[100시간 수분보습]LBB 올 데이 케어 인 로션 50ml,모든 피부타입,"탄제린수,정제수,글리세린,부틸렌글라이콜,카프릴릭,크프릭트라이글리세라이드,카르릴릴메티콘,1,2-헥산다이올,글리세릴스테아레이트,세테아릴올리베이트,동백나무씨오일,솔비탄올리베이트,소듐아크릴레이트,소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,에틸헥실글리세린,카르릴릴글라이콜,아크릴레이트,C10-30알킬아크릴레이트크로스폴리머,알지닌,라벤더오일,대왕송오일,솔비탄올리에이트,소듐파이테이트,카프릴릴,카프릴글루코사이드,자몽껍질오일,필리핀오렌지전초오일,해바라기씨오일,펜틸렌글라이콜,울금뿌리오일,마데카소사이드,자주천인국추출물,라즈베리잎세포배양물,토마토잎세포배양추출물,토코페롤",로션
아누아,[리뉴얼] 아누아 어성초 70 데일리 로션 200ml,모든 피부용,"약모밀꽃/잎/줄기수(70%), 글리세린, 정제수, 에틸헥실스테아레이트, 1,2-헥산다이올, 글리세릴스테아레이트시트레이트, 메틸프로판다이올, 부틸렌글라이콜, 백미꽃추출물, 물푸레나무추출물, 바질꽃/잎/줄기추출물, 접시꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 메틸트라이메티콘, 펜틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴스테아레이트, 폴리글리세릴-3다이스테아레이트, 베타인, 글리세릴글루코사이드, 하이드로제네이티드레시틴, 트로메타민, 에틸헥실글리세린, 소듐스테아로일글루타메이트, 소듐파이테이트, 베타-글루칸, 토코페롤, 소듐아세틸레이티드하이알루로네이트, 카보머",로션
운스트라움,운스트라움 디 오리진 로션 150ml,모든 피부 타입,"정제수, 프로판다이올, 에틸헥실스테아레이트, 1,2-헥산다이올, 메틸트라이메티콘, 메틸프 로판다이올, 나이아신아마이드, 소나무잎추출물, 판테놀, 폴리메틸실세스퀴옥세인, 병풀뿌리추출 물, 병풀잎추출물, 병풀추출물, 글리세릴스테아레이트, 세테아릴알코올, 솔비탄스테아레이트, 카보머, 소듐스테아로일글루타메이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 잔탄검, 트로메타민, 부틸렌글라이콜, 다이소듐이디티 에이, 알란토인, 효모발효물, 아시아티코사이드, 마데카소사이드, 마데카식애씨드, 아시아틱애씨드, 향료, 에틸헥실글리세린",로션
운스트라움,운스트라움 에센셜 올인원 150ml,모든 피부 타입,"정제수, 다이부틸아디페이트, 프로판다이올, 부틸옥틸살리실레이트, 에칠헥실트리아존, 테레프탈 릴리덴디캠퍼설포닉애씨드, 폴리글리세릴-3다이스 테아레이트, 나이아신아마이드, 트로메타민, 1,2-헥 산다이올, 디에칠아미노하이드록시벤조일헥실벤조 에이트, 펜틸렌글라이콜, 폴리실리콘-15, 소나무잎추 출물, 풍선덩굴꽃/잎/덩굴추출물, 병풀뿌리추출물, 병풀잎추출물, 병풀추출물, 에키움 플란타기네움씨 오일, 글리세릴스테아레이트, 비스-에칠헥실옥시페 놀메톡시페닐트리아진, 세테아릴알코올, 옥틸도데칸 올, 메틸프로판다이올, 카보머, 암모늄아크릴로일다 이메틸타우레이트/브이피코폴리머, 글리세릴스테아 레이트시트레이트, 아크릴레이트/C10-30알킬아크 릴레이트크로스폴리머, 소듐스테아로일글루타메이 트, 에틸헥실글리세린, 아데노신, 해바라기씨오일 불검화물, 토코페롤, 알란토인, 판테놀, 부틸렌글라이콜, 효모발효물, 아시아티코사이드, 마데카소사이드, 마데카식애씨드, 아시아틱애씨드, 향료",올인원
더페이스샵,더페이스샵 네오클래식 옴므 블랙 에센셜 올인원 트리트먼트 110ml,모든피부용,"맥아추출물, 정제수, 변성알코올, 나이아신아마이드, 프로판디올, 비스-피이지-18메칠에텔디메칠실란, 트레할로스, 판테놀, 글리세린, 디메치콘/비닐디메치콘크로스폴리머, 1,2-헥산디올, 사이클로펜타실록산, 트리에칠헥사노인, 페녹시에탄올, 암모늄아크릴로일디메칠타우레이트/브이피코폴리머, 향료, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 아데노신, C12-14파레스-12, 트리소듐이디티에이, 글리세릴폴리메타크릴레이트, 베타-글루칸, 프로필렌글라이콜, 팔미토일트리펩타이드-1, 헥실신남알, 리모넨, 리날룰

",올인원
