Text,Text1,Text2,Text3,Text4
바이오힐보,[NEW] 바이오힐보 프로바이오덤 3D 리프팅 스킨케어 2종 기획(에센셜 토너 150ml+에멀전 150ml),모든 피부용,"[에센셜 토너]
정제수, 글리세린, 글리세레스-26, 부틸렌글라이콜, 펜틸렌글라이콜, 폴리글리세린-3, 락토바실러스발효용해물, 락토바실러스발효물, 프룩토올리고사카라이드, 프룩탄, 이눌린, 판테놀, 베타인, 베타-글루칸, 아데노신, 사포닌, 수용성프로테오글리칸, 노나펩타이드-1, 아세틸테트라펩타이드-9, 아세틸테트라펩타이드-5, 아세틸헥사펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-8, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 올리고펩타이드-2, 실버위드추출물, 무화과추출물, 병풀추출물, 귀리커넬추출물, 아티초크잎추출물, 메도우폼씨오일, 하이드로제네이티드레시틴, 녹차수, C12-14파레스-12, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 에틸헥실글리세린, 폴리글리세릴-10스테아레이트, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이포타슘글리시리제이트, 메틸프로판다이올, 1,2-헥산다이올, 소듐파이테이트, 글리세릴폴리메타크릴레이트, 폴리쿼터늄-51, 세라마이드엔피, 말토덱스트린, 토코페롤, 프로판다이올, 알진, 바이오사카라이드검-4, 잔탄검, 수크로오스다이스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 소듐포스페이트, 카프릴릴글라이콜, 하이드록시프로필사이클로덱스트린, 미네랄솔트, 덱스트란, 다이소듐포스페이트, 향료

[에멀전]
정제수, 락토바실러스발효용해물, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 옥틸도데실미리스테이트, 카프릴릴메티콘, 하이드로제네이티드폴리(C6-14올레핀), 베타인, 락토바실러스발효물, 프룩토올리고사카라이드, 프룩탄, 이눌린, 판테놀, 베타-글루칸, 아데노신, 사포닌, 수용성프로테오글리칸, 노나펩타이드-1, 아세틸테트라펩타이드-9, 아세틸테트라펩타이드-5, 아세틸헥사펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-8, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 올리고펩타이드-2, 참마뿌리추출물, 펜틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 세틸에틸헥사노에이트, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭트라이글리세라이드, 비닐다이메티콘, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 팔미틱애씨드, 스테아릭애씨드, 다이메티콘올, 에틸헥실글리세린, 카보머, 잔탄검, 하이드로제네이티드채종유, 트로메타민, 솔비탄아이소스테아레이트, 말토덱스트린, 프로판다이올, 알진, 바이오사카라이드검-4, 세테아릴글루코사이드, 세테아릴알코올, 소듐폴리아크릴레이트, 소듐스테아로일글루타메이트, 토코페롤, 미네랄솔트, 하이드롤라이즈드옥수수전분, 소듐포스페이트, 카프릴릴글라이콜, 수크로오스, 덱스트란, 다이소듐포스페이트, 향료",스킨케어세트
하다라보,[단독기획] 하다라보 고쿠쥰 프리미엄 로션&밀크 기획 (+본품 로션 170ml),극건성 피부,"고쿠쥰 프리미엄 로션 : 정제수, 부틸렌글라이콜, 펜틸렌글라이콜, 피피지-10메틸글루코오스에터, 다이프로필렌글라이콜, 다이글리세린, 하이드록시에틸우레아, 솔비톨, 카보머, 페녹시에탄올, 글라이코실트레할로오스, 다이소듐석시네이트, 프로판다이올, 소듐하이알루로네이트, 자일리틸글루코사이드, 하이드로제네이티드스타치하이드롤리세이트, 안하이드로자일리톨, 포타슘하이드록사이드, 아이소펜틸다이올, 다이소듐이디티에이, 석시닉애씨드, 자일리톨, 카프릴하이드록사믹애씨드, 잔탄검, 폴리쿼터늄-51, 하이드롤라이즈드하이알루로닉애씨드, C12-13알킬글리세릴하이드롤라이즈드하이알루로네이트, 소듐아세틸레이티드하이알루로네이트,
하이드롤라이즈드소듐하이알루로네이트, 락토코쿠스/하이알루로닉애씨드발효여과물, 하이드록시프로필트라이모늄하이알루로네이트, 아파노테케 사크룸엑소폴리사카라이즈, 소듐하이알루로네이트크로스폴리머

고쿠쥰 프리미엄 밀크 : 정제수, 글리세린, 다이프로필렌글라이콜, 다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 세틸알코올, 트라이에틸헥사노인, 펜틸렌글라이콜, 팔미틱애씨드, 세틸포스페이트, 알지닌, 페녹시에탄올, 프로판다이올, 카보머, 소듐하이알루로네이트, 다이소듐이디티에이, 하이드록시에틸셀룰로오스, 카프릴하이드록사믹애씨드, 부틸렌글라이콜, C12-13알킬글리세릴하이드롤라이즈드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 락토코쿠스/하이알루로닉애씨드발효여과물,
소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 아파노테케 사크룸엑소폴리사카라이즈, 소듐하이알루로네이트크로스폴리머",스킨케어세트
라운드랩,[민감진정] 라운드랩 포 맨 소나무 진정 토너/로션 2종 세트(+클렌저 40ml 증정),모든피부용,"1. 포 맨 소나무 진정 시카 토너 200ml
정제수,글리세린,프로판다이올,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,녹차추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,베르가모트잎추출물,글루코노락톤,카프릴로일살리실릭애씨드,감자꽃추출물,소나무잎추출물(1000.61ppm),알란토인,데실글루코사이드,병풀잎추출물,에틸헥실글리세린,부틸렌글라이콜,병풀추출물(0.01ppm),글라이코프로테인(0.0002ppm),아시아티코사이드(0.00001ppm),아시아틱애씨드(0.00001ppm),마데카소사이드(0.00001ppm),마데카식애씨드(0.00001ppm),글리세레스-25피씨에이아이소스테아레이트,1,2-헥산다이올,하이드록시아세토페논,잔탄검

2. 포 맨 소나무 진정 시카 로션 200ml
정제수,부틸렌글라이콜,글리세린,1,2-헥산다이올,다이프로필렌글라이콜,하이알루로닉애씨드,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,하이드롤라이즈드치자추출물,하이드롤라이즈드맥아추출물,하이드롤라이즈드삼색제비꽃추출물,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,카카오씨추출물,녹차추출물,오카무라큰실말추출물,흰버드나무껍질추출물,커피콩추출물,베르가모트잎추출물,소나무잎추출물(1000.61ppm),데실글루코사이드,에틸헥실글리세린,카프릴로일살리실릭애씨드,병풀잎추출물(10.6ppm),프로판다이올,감자꽃추출물,병풀추출물(0.01ppm),글라이코프로테인(0.0002ppm),아시아티코사이드(0.00001ppm),아시아틱애씨드(0.00001ppm),마데카소사이드(0.00001ppm),마데카식애씨드(0.00001ppm),덱스트린,하이드로제네이티드레시틴,에틸헥실팔미테이트,세틸에틸헥사노에이트,트로메타민,폴리글리세릴-10올리에이트,다이소듐이디티에이,카보머",스킨케어세트
피지오겔,피지오겔 DMT포맨 증정 기획세트 2종 (플루이드 or 크림),모든피부용.,"[플루이드] 정제수, 글리세린, 부틸렌글라이콜, 카프릴릴메티콘, 트레할로오스, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 다이페닐실록시페닐트라이메티콘, 하이드록시에틸우레아, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이메티콘/페닐비닐다이메티콘크로스폴리머, 트로메타민, 나이아신아마이드, 판테놀, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트라이소듐이디티에이, 베타-글루칸, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 병풀추출물, 하이드롤라이즈드소듐하이알루로네이트, 다이포타슘글리시리제이트, 세라마이드엔피, 카퍼트라이펩타이드-1
[토너] 정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 펜타에리스리틸테트라에틸헥사노에이트, 헥실데실에틸헥사노에이트, 변성알코올, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 알지닌, 피토스테롤, 세린, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이메티콘, 사이클로펜타실록세인, 소듐하이알루로네이트, 소듐피씨에이, 하이드록시에틸우레아, 트로메타민, 트라이소듐이디티에이
",스킨케어세트
라운드랩,[저자극/세트] 라운드랩 1025 독도 토너+로션 기획 (200ml+200ml),모든 피부용,"1. 1025 독도 토너 200ml
정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이

2. 1025 독도 로션 200ml
정제수, 글리세린, 퀸즈랜드넛오일, 1,2-헥산다이올, 펜틸렌글라이콜, 아이리쉬모스추출물, 사탕수수추출물, 해수, 돌콩오일, 병풀추출물, 캐모마일꽃추출물, 감초뿌리추출물, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 글리세릴스테아레이트, 하이드로제네이티드폴리데센, 호호바에스터, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 카프릴릴글라이콜, 트로메타민, 소듐파이테이트, 판테놀, 스쿠알란, 부틸렌글라이콜, 토코페롤, 소듐카복시메틸베타-글루칸, 에틸헥실글리세린, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 세테아릴알코올, 카보머",스킨케어세트
하다라보,[스킨케어세트/세안밴드증정]] 하다라보 고쿠쥰로션&밀크 (+크림 50ml 정품),"건조 피부, 보습 세트","하다라보 고쿠쥰 로션 : 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 다이글리세린, 피피지-10메틸글루코오스에터, 다이소듐석시네이트, 프로판다이올, 소듐하이알루로네이트, 다이소듐이디티에이, 하이드록시에틸셀룰로오스, 석시닉애씨드, 카프릴하이드록사믹애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 락토코쿠스/하이알루로닉애씨드발효여과물
하다라보 고쿠쥰 밀크 : 정제수, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 다이프로필렌글라이콜, 하이드로제네이티드폴리(C6-12올레핀), 펜틸렌글라이콜, 피피지-10메틸글루코오스에터, 세테스-23, 글리세릴스테아레이트, 스테아릴알코올, 카보머, 베헤닐알코올, 알지닌, 프로판다이올, 소듐하이알루로네이트, 다이소듐이디티에이, 피토스테릴/옥틸도데실라우로일글루타메이트, 카프릴하이드록사믹애씨드, 부틸렌글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 락토코쿠스/하이알루로닉애씨드발효여과물",스킨케어세트
바이오힐보,바이오힐보 비타민 히알루로닉 앰플토너 150mL & 에멀전 150mL 기획 (크림30mL 증정),■ 모든 피부 타입용,"1. 앰플토너 : 정제수, 프로판다이올, 변성알코올, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 소듐하이알루로네이트, 엔도미세스발효여과물, 하이드롤라이즈드하이알루로닉애씨드, 트루로즈오브예리코추출물, 하이알루로닉애씨드, 비피다발효용해물, 옥틸도데세스-16, 트로메타민, 에틸헥실글리세린, 아데노신, 펜틸렌글라이콜, 아세틸글루코사민, 하이드록시아세토페논, 소듐하이알루로네이트크로스폴리머, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 토코페롤, 카프릴릴글라이콜, 글리세릴글루코사이드, 부틸렌글라이콜, 하이드록시프로필트라이모늄하이알루로네이트, 하이드로제네이티드레시틴, 스테아릭애씨드, 소듐아세틸레이티드하이알루로네이트, 옥탄다이올, 피토스테롤, 구아하이드록시프로필트라이모늄클로라이드, 세라마이드엔피, 세라마이드엔에스, 콜레스테롤, 피토스핑고신, 세라마이드에이피, 세라마이드에이에스, 아스코빅애씨드, 아스코빌글루코사이드, 바이오틴, 사이아노코발아민, 폴릭애씨드, 리놀레익애씨드, 판토테닉애씨드, 피리독신, 티아민에이치씨엘, 세라마이드이오피, 카보머, 다이소듐이디티에이, 세테아릴알코올, 향료

2. 에멀전 : 정제수, 다이프로필렌글라이콜, 하이드로제네이티드폴리데센, 퀸즈랜드넛오일, 1,2-헥산다이올, 나이아신아마이드, 펜틸렌글라이콜, 네오펜틸글라이콜다이카프레이트, 폴리글리세릴-3다이스테아레이트, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 엔도미세스발효여과물, 트루로즈오브예리코추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 비피다발효용해물, 사이클로헥사실록세인, 글리세릴스테아레이트, 판테놀, 비닐다이메티콘, 글루코오스, 글리세린, 세테아릴올리베이트, 솔비탄올리베이트, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 폴리아크릴레이트크로스폴리머-6, 트로메타민, 에틸헥실글리세린, 글리세릴스테아레이트시트레이트, 카프릴릭/카프릭트라이글리세라이드, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 하이드로제네이티드레시틴, 세라마이드엔피, 프로판다이올, 토코페롤, 글리세릴글루코사이드, 스테아릭애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트크로스폴리머, 세라마이드엔에스, 옥탄다이올, 하이드록시프로필트라이모늄하이알루로네이트, 콜레스테롤, 피토스핑고신, 카프릴릴/카프릴글루코사이드, 세라마이드에이피, 세라마이드에이에스, 소듐아세틸레이티드하이알루로네이트, 세라마이드이오피, 피토스테롤, 구아하이드록시프로필트라이모늄클로라이드, 아스코빅애씨드, 아스코빌글루코사이드, 바이오틴, 사이아노코발아민, 폴릭애씨드, 리놀레익애씨드, 판토테닉애씨드, 피리독신, 티아민에이치씨엘, 세테아릴알코올, 카보머, 잔탄검, 향료

3. 젤 크림 : 정제수, 글리세린, 부틸렌글라이콜, 에탄올, 다이프로필렌글라이콜, 사이클로펜타실록세인, 나이아신아마이드, 다이메티콘, 트라이실록세인, 다이카프릴릴카보네이트, 사이클로헥사실록세인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-16알코올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드로제네이티드폴리아이소부텐, 폴리글리세릴-3다이스테아레이트, 하이드록시아세토페논, 폴리실리콘-11, 하이드로제네이티드레시틴, 비피다발효용해물, 스트렙토코쿠스 테르모필루스발효물, 락토바실러스발효용해물, 팔미틱애씨드, 카프릴릴글라이콜, 1,2-헥산다이올, 아데노신, 솔비탄아이소스테아레이트, 글리세릴스테아레이트시트레이트, 폴리쿼터늄-51, 소듐하이알루로네이트, 황련뿌리추출물, 다이포타슘글리시리제이트, 소듐아스코빌포스페이트, 세라마이드엔피, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 폴리글리세릴-10스테아레이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 바이오틴, 피리독신, 판테놀, 폴릭애씨드, 사이아노코발아민, 베타-카로틴, 리보플라빈, 리놀레익애씨드, 토코페롤, 티아민에이치씨엘, 이노시톨, 다이소듐이디티에이, 에틸헥실글리세린
",스킨케어세트
아누아,[단독기획] 아누아 어성초 77 깐달걀 토너 350ml + 어성초 산뜻진정 로션 200ml 기획세트,모든 피부용,"[토너] 약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 베타인, 부틸렌글라이콜, 아이소펜틸다이올, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 병풀추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 마트리카리아꽃추출물, 체이스트트리추출물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 다이소듐이디티에이

[로션] 약모밀꽃/잎/줄기수(70%), 글리세린, 정제수, 에틸헥실스테아레이트, 1,2-헥산다이올, 글리세릴스테아레이트시트레이트, 메틸프로판다이올, 부틸렌글라이콜, 백미꽃추출물, 물푸레나무추출물, 바질꽃/잎/줄기추출물, 접시꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 메틸트라이메티콘, 펜틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 글리세릴스테아레이트, 폴리글리세릴-3다이스테아레이트, 베타인, 글리세릴글루코사이드, 하이드로제네이티드레시틴, 트로메타민, 에틸헥실글리세린, 소듐스테아로일글루타메이트, 소듐파이테이트, 베타-글루칸, 토코페롤, 소듐아세틸레이티드하이알루로네이트, 카보머",스킨케어세트
이니스프리,[트러블모공] 이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+15ml),모든피부,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 다이부틸아디페이트, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 해바라기씨오일, 콜레스테롤, 알란토인, 돌콩오일, 토코페롤, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 프로판다이올, 당근추출물, 에틸헥실글리세린, 아데노신, 아시아티코사이드, 마데카식애씨드, 녹차씨추출물, 아시아틱애씨드, 레티놀(500IU/g), 스테아릴글리시레티네이트, 하이알루로닉애씨드, 만니톨, 세라마이드엔피, 베타-글루칸, 베타-카로틴, 피토스핑고신, 비에이치티, 살리실릭애씨드, 아세틸테트라펩타이드-11",스킨케어세트
피지오겔,[한정기획] 피지오겔 시카밸런스 포맨 2종 기획 (+플루이드 100ml or 크림 70ml),모든피부용.,"""[시카밸런스 포맨 카밍 토너] 정제수, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 글리세린, 나이아신아마이드, 판테놀, 다이프로필렌글라이콜, 소듐시트레이트, 카르니틴, 시트릭애씨드, 알란토인, 살리실릭애씨드, 마데카소사이드(250 ppm), 트라이소듐이디티에이, 사코신, 아세타마이드엠이에이, 베타-글루칸, 팔미타마이드엠이에이, 스쿠알란, 아시아티코사이드(0.4 ppm), 마데카식애씨드(0.35 ppm), 아시아틱애씨드(0.25 ppm), 카프릴릭/카프릭트라이글리세라이드, 세라마이드엔피, 하이드로제네이티드레시틴
[시카밸런스 포맨 카밍 플루이드] 정제수, 하이드로제네이티드폴리아이소부텐, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 하이드로제네이티드폴리데센, 나이아신아마이드, 판테놀, 트레할로오스, 폴리메틸실세스퀴옥세인, 스쿠알란, 카프릴릭/카프릭트라이글리세라이드, 살리실릭애씨드, 베타-글루칸, 아시아틱애씨드(0.25 ppm), 마데카소사이드(245 ppm), 아시아티코사이드(0.4 ppm), 마데카식애씨드(0.35 ppm), 토코페롤, 카르니틴, 사코신, 아세타마이드엠이에이, 팔미타마이드엠이에이, 세라마이드엔피, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 솔비탄아이소스테아레이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트로메타민""
",스킨케어세트
