Text,Text1,Text2,Text3,Text4
"
						
						코이
					",코이 플로우 리프팅 랩핑 크림 50ml,모든피부용,"정제수, 프로판다이올, 글리세린, 다이페닐실록시페닐트라이메티콘, 카프릴릭/카프릭트라이글리세라이드, 아이소노닐아이소노나노에이트, 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 캐스터오일/아이피디아이코폴리머, 암모늄아크릴로일디메칠타우레이트/브이피코폴리머, 소듐폴리아크릴레이트, 글리세레스-25피씨에이아이소스테아레이트, 소듐하이알루로네이트, 한련초추출물, 남가새열매추출물, 시호 뿌리추출물, 양까막까치밥나무열매추출물, 지모뿌리추출물, 트레할로오스, 베타인, 아이소펜틸다이올, 펜틸렌글라이콜, 아데노신, 시어버터, 시트릭애씨드, 알지닌, 카보머, 잔탄검, 하이드로제네이티드폴리아이소부텐, 아모다이메티콘, 향, 에틸헥실글리세린",크림
"
						
						코이
					",코이 플로우 셀코드 크라이오 크림 50ml,모든 피부용,"정제수, 부틸렌글라이콜, 글리세린, 다이카프릴릴카보네이트, 베타인, 1,2-헥산다이올, 나이아신아마이드, 하이드로제네이티드폴리데센, 비닐다이메티콘, 카프릴릴메티콘, 폴리메틸실세스퀴옥세인, 황련뿌리추출물, 유자추출물, 히비스커스꽃추출물, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 트로메타민, 다이메티콘올, 세테아릴올리베이트, 솔비탄올리베이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 글리세릴글루코사이드, 아데노신, 솔비탄아이소스테아레이트, 잔탄검, 다이소듐이디티에이, 옥타데케인, 락틱애씨드/글라이콜릭애씨드코폴리머, 다이프로필렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 폴리글리세릴-10다이아이소스테아레이트, 글루코오스, 메나다이온, 사이아노코발아민, 다이메틸실란올하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 록샘파이어캘러스배양여과물, 포타슘하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트, 산소, 향료, 에틸헥실글리세린, 카프릴릴글라이콜, 쿠마린, 유제놀, 리모넨, 리날룰",크림
"
						
						톰
					",톰 이센셜리 에픽 레디언트 크림 50g,모든 피부,"작약뿌리수, 정제수, 글리세린, 프로판다이올, 비닐다이메티콘, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 부틸렌글라이콜, 나이아신아마이드, 세틸에틸헥사노에이트, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 폴리글리세릴-4올리에이트, 폴리솔베이트20, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 하이드로제네이티드레시틴, 트로메타민, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 향료, 일랑일랑꽃추출물, 잔탄검, 아보카도열매추출물, 말토덱스트린, 토코페롤, 글리세릴올리에이트, 아데노신, 프로필렌글라이콜, 소듐파이테이트, 한련초추출물, 아이비고드열매추출물, 레시틴, 인도멀구슬나무꽃추출물, 마카뿌리추출물, 인도멀구슬나무잎추출물, 세라마이드엔피, 바질꽃/잎추출물, 헨나꽃/열매/잎추출물, 홀리바질잎추출물, 동백나무꽃추출물, 울금뿌리추출물, 참산호말추출물, 샤프란꽃추출물",크림
"
						
						바이오던스
					",바이오던스 포어 타이트닝 콜라겐 크림 50ml,모든 피부 타입,"정제수, 해수, 글리세린, 메틸프로판다이올, 네오펜틸글라이콜다이헵타노에이트 , 트라이에틸헥사노인, 1,2-헥산다이올, 나이아신아마이드 , 세테아릴알코올, 하이드로제네이티드폴리데센, 세테아릴올리베이트, 시메티콘, 하이드로제네이티드폴리(C6-14올레핀), 글리세릴스테아레이트, 솔비탄올리베이트, 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리아이소부텐, 프로판다이올, 소듐폴리아크릴레이트, 콜라겐추출물, 에틸헥실글리세린, 아데노신, 솔비탄올리에이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 판테놀, 알지닉애씨드, 실란트라이올, 팔미토일트라이펩타이드-5, 소듐하이알루로네이트, 수용성엘라스틴, 엘라스틴, 하이드롤라이즈드엘라스틴, 토코페롤, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트",크림
"
						
						셀라딕스
					",셀라딕스 스킨 바이옴 131 캡슐 크림 80ml,모든 피부용,"정제수,부틸렌글라이콜,글리세린,1,2-헥산다이올,나이아신아마이드,다이프로필렌글라이콜,세테아릴알코올,세라마이드엔피,피토스테롤,팔미틱애씨드,스테아릭애씨드,미리스틱애씨드,소듐폴리아크릴로일다이메틸타우레이트,알지닌,카보머,하이드로제네이티드레시틴,알란토인,옥수수전분,마이크로크리스탈린셀룰로오스,만니톨,무화과추출물,병풀추출물,에틸헥실글리세린,아데노신,빙하수,다이소듐이디티에이,다시마추출물,당느릅나무뿌리추출물,알로에베라잎추출물,제비꽃추출물,참마뿌리추출물,펜틸렌글라이콜,하이알루로닉애씨드,카프릴릴글라이콜,락토바실러스발효물",크림
"
						
						샤이샤이샤이
					",샤이샤이샤이 리포좀 리페어 인텐시브(밀키) 크림 50ml,모든 피부 타입,"정제수,사이클로펜타실록세인,프로필렌글라이콜다이카프릴레이트/다이카프레이트,카프릴릭/카프릭트라이글리세라이드,우레아,다이-C12-13알킬말레이트,다이아이소스테아릴말레이트,글리세린,다이프로필렌글라이콜,부틸렌글라이콜,다이메티콘,폴리글리세릴-6폴리리시놀리에이트,피이지-10다이메티콘,사이클로헥사실록세인,아데노신,아세틸헥사펩타이드-8,카퍼트라이펩타이드-1,세라마이드엔피,판테놀,포도세포추출물,트루로즈오브예리코추출물,페룰릭애씨드,녹두씨추출물,베타-글루칸,토코페롤,글리세릴글루코사이드,글루코오스,에틸헥실글리세린,소리쟁이뿌리추출물,시어버터,자작나무껍질추출물,자몽추출물,소듐클로라이드,트라이-C14-15알킬시트레이트,프로필렌카보네이트,하이드로제네이티드레시틴,레시틴,다이소듐이디티에이,1,2-헥산다이올,카프릴하이드록사믹애씨드,다이스테아다이모늄헥토라이트,향료,벤질벤조에이트,벤질살리실레이트,시트로넬올,리모넨,헥실신남알,부틸페닐메틸프로피오날,리날룰",크림
"
						
						프라나롬
					",[만능 시카밤] 프라나롬 시카롬 리페어 밤 40ml,모든 피부용,"정제수, 시어버터, 스위트브라이어씨오일, 아보카도오일, 크랜베리씨오일, 비타민나무열매오일, 라다넘오일, 라벤더오일, 티르리잎오일, 로즈마리꽃오일, 에버라스팅꽃오일, 소듐벤조에이트, 이눌린라우릴카바메이트, 글리세린, 젤란검, 잔탄검, 세테아릴알코올, 세테아릴글루코사이드, 토코페롤, 솔비탄카프릴레이트, 프로판다이올, 벤조익애씨드, 소듐하이드록사이드",크림
"
						
						아이디플라코스메틱
					",아이디플라코스메틱 엑소브이 프로리프팅 크림 50ml,모든 피부용,"정제수, 카프릴릭/카프릭트라이글리세라이드, 세틸에틸헥사노에이트, 다이프로필렌글라이콜, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 하이드로제네이티드폴리데센, 다이아이소스테아릴말레이트, 나이아신아마이드, C14-22알코올, 글리세릴스테아레이트에스이, 세테아릴알코올, 베타인, 다이메티콘, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리아이소부텐, 소듐스테아로일글루타메이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 크레아틴, 향료, 트레할로오스, 트로메타민, 에틸헥실글리세린, 소듐하이알루로네이트, 소듐폴리아크릴레이트, 아데노신, 폴리솔베이트20, 솔비탄아이소스테아레이트, *록샘파이어캘러스배양여과물, *락토바실러스세포외소포, 아이소스테아릴아이소스테아레이트, 레시틴, 폴리글리세릴-2스테아레이트, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 사이아노코발아민, 다이포타슘글리시리제이트, 팔미틱애씨드, 알지닌, 스테아릭애씨드, 니코틴아마이드아데닌다이뉴클레오타이드, 잇꽃씨오일, 하이드로제네이티드포스파티딜콜린, 달맞이꽃오일, 스쿠알란, 세라마이드엔피, 콜레스테롤, 폴리쿼터늄-51, 소듐디엔에이
*독자성분 : ID 2EXO-V™",크림
"
						
						더마라인
					",더마라인 바이오 액티빙 PDRN 크림 100g,모든 피부타입,"정제수, 부틸렌글라이콜, 스쿠알란, 글리세린, 세틸알코올, 나이아신아마이드, 카프릴릭/카프릭트라이글리 세라이드, 시어버터, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 글리세릴스 테아레이트, 1,2-헥산다이올, 에틸헥실팔미테이트, 코코-카프릴레이트/카프레이트, 스테아릴알코올, 폴리 아크릴레이트-13, 소듐디엔에이(10000ppm), 판테놀, 글리세레스-26, 폴리아이소부텐, 황금추출물, 스위 트아몬드오일, 다이메티콘, 세테아릴올리베이트, 알란토인, 하이드롤라이즈드콜라겐, 병풀추출물, 솔비탄올 리베이트, 폴리솔베이트20, 스테아릭애씨드, 솔비탄아이소스테아레이트, 에틸헥실글리세린, 다이소듐이디 티에이, 아데노신, 팔미틱애씨드, 마데카소사이드, 아시아티코사이드, 아라키딕애씨드, 소듐하이알루로네 이트, 토코페롤, 미리스틱애씨드, 스타아니스추출물, 커먼자스민오일, 캐모마일꽃오일, 꿀풀추출물, 블래더 랙추출물, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-1, 카퍼트라이펩타이드-1",크림
"
						
						더마펌
					",[100시간보습] 더마펌 수딩 리페어 토닝 크림 R4 50ml 기획 (+30ml),모든 피부타입,"정제수, 프로판다이올, 글리세린, 2,3-부탄다이올, 하이드로제네이티드폴리데센, 나이아신아마이드, 1,2-헥산다이올, 카프릴릭/카프릭/석시닉트라이글리세라이드, 만니톨, 바쿠치올, 토코페롤, 합성비즈왁스, 암모늄폴리아크릴로일다이메틸타우레이트, 글리세레스-26, 세테아릴올리베이트, 폴리솔베이트60, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 솔비탄세스퀴올리에이트, 마이크로크리스탈린셀룰로오스, 솔비탄올리베이트, 카보머, 글리세릴글루코사이드, 수크로오스, 트로메타민, 향료, 스쿠알란, 옥수수전분, 글루타티온, 다이프로필렌글라이콜, 에틸헥실글리세린, 아데노신, 하이드록시프로필메틸셀룰로오스, 포스파티딜콜린, 폴리글리세릴-10라우레이트, 부틸렌글라이콜, 다이소듐이디티에이, 황련뿌리추출물, 들깨잎추출물, 유칼립투스잎추출물, 치자추출물, 덱스트린, 벤질글라이콜, 베타-글루칸, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 하이드로제네이티드레시틴, 카프릴릭/카프릭트라이글리세라이드, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 소듐구아이아줄렌설포네이트, 알지닌, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘세틸포스페이트, 소듐서팩틴, 소듐폴리아크릴로일다이메틸타우레이트, 페룰릭애씨드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 팔미토일트라이펩타이드-1, 카퍼트라이펩타이드-1, 글라이신, 세린, 아스파틱애씨드, 글루타믹애씨드, 류신, 라이신, 알라닌, 프롤린, 페닐알라닌, 트레오닌, 발린, 아이소류신, 타이로신, 히스티딘, 메티오닌, 시스테인",크림
