Text,Text1,Text2,Text3,Text4
스킨푸드,[NEW] 스킨푸드 밀크 쉐이크 포인트 메이크업 리무버 160ml,모든피부,"정제수, 아이소헥사데칸, 사이클로펜타실록세인, 사이클로헥사실록세인, 프로필렌글라이콜, 피피지-13-데실테트라데세스-24, 소듐클로라이드, 1,2-헥산다이올, 락토바실러스/소이밀크발효여과물, 에틸헥실글리세린, C12-14파레스-12, 소듐시트레이트, 시트릭애씨드, 우유단백질추출물(24.9 ppm)",립&아이리무버
닥터벨머,닥터벨머 아미노클리어 립앤아이 메이크업 리무버 150ml ,모든피부용,"정제수, 에틸헥실팔미테이트, 아이소헥사데칸, 다이메티콘, 다이카프릴릴에터, 부틸렌글라이콜, 1,2-헥산다이올, 알란토인, 세린, 소듐클로라이드, 소듐벤조에이트, 카프릴릴/카프릴글루코사이드, 에틸헥실글리세린, 소듐시트레이트, 시트릭애씨드, 토코페롤",립&아이리무버
식물나라,식물나라 제주 탄산수 딥 립 앤 아이 리무버 150mL(24AD),■ 모든 피부용,"정제수,사이클로펜타실록세인,카프릴릭/카프릭트라이글리세라이드,다이프로필렌글라이콜,아이소헥사데칸,아이소도데케인,아이소프로필미리스테이트,페녹시에탄올,소듐클로라이드,카프릴릴/카프릴글루코사이드,1,2-헥산다이올,다이소듐이디티에이,탄산수,에틸헥실글리세린,녹색202호",립&아이리무버
식물나라,식물나라 제주 탄산수 딥 립 앤 아이 리무버 300mL(24AD),■ 모든 피부용,"정제수,사이클로펜타실록세인,카프릴릭/카프릭트라이글리세라이드,다이프로필렌글라이콜,아이소헥사데칸,아이소도데케인,아이소프로필미리스테이트,페녹시에탄올,소듐클로라이드,카프릴릴/카프릴글루코사이드,1,2-헥산다이올,다이소듐이디티에이,탄산수,에틸헥실글리세린,녹색202호",립&아이리무버
헤라,[NEW]헤라 메이크업 리무버 125ml ,모든 피부타입,"정제수, 아이소도데케인, 카프릴릴메티콘, 메틸트라이메티콘, C9-12알케인, 세틸에틸헥사노에이트, 1,2-헥산다이올, 헥실렌글라이콜, 코코-카프릴레이트/카프레이트, 소듐클로라이드, 카프릴릴/카프릴글루코사이드, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 다이포타슘포스페이트, 소듐메타포스페이트, 락틱애씨드, 에틸헥실글리세린, 알란토인, 포타슘포스페이트, 시트릭애씨드, 글라이콜릭애씨드, 구아이아줄렌, 프로판다이올, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 토코페롤, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트
",립&아이리무버
투크,투크 퍼펙트 클린 립앤아이리무버 100ml 더블 기획,모든 피부 사용,"아이소도데케인, 정제수, 다이메티콘, 다이프로필렌글라이콜, 1,2-헥산다이올, 소듐클로라이드,
부틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 다이포타슘글리시리제이트, 다이소듐이디티에이, 모란뿌리추출물, 알로에베라잎추출물, 녹차추출물, 트로메타민, 황금추출물, 흰버드나무껍질추출물, 락토바실러스/콩발효추출물, 쇠비름추출물, 오레가노잎추출물, 육계나무껍질추출물, 편백잎추출물, 병풀추출물, 호장근뿌리추출물, 스페인감초뿌리추출물, 로즈마리잎추출물, 마트리카리아꽃추출물",립&아이리무버
코스노리,[NEW] 코스노리 롱 액티브 비건 마스카라 리무버 (속눈썹 영양케어+클렌징),모든 피부타입,"아이소헥사데칸, 트라이에틸헥사노인, 아이소도데케인, 실리카다이메틸실릴레이트, 다이스테아다이모늄헥토라이트, C30-45알킬메티콘, C30-45올레핀, 프로필렌카보네이트, 토코페롤, 데하이드로아세틱애씨드, 정제수, 부틸렌글라이콜, 소듐하이알루로네이트, 녹차씨오일, 아르간커넬오일, 올리브오일, 해바라기씨오일, 호호바씨오일, 동백나무씨오일,  퀸즈랜드넛오일, 프로판다이올, 1,2-헥산다이올, 모나스커스추출물, 쇠비름추출물, 병풀추출물, 약모밀추출물, 하이드록시아세토페논, 카퍼트라이펩타이드-1, 에틸헥실글리세린",립&아이리무버
후르디아,후르디아 딥 클린 립앤아이 리무버 300ml,모든피부,"정제수,아이소헥사데칸,아이소도데케인,헥실렌글라이콜,1,2-헥산다이올,소듐클로라이드,소듐시트레이트,알지닌,다이포타슘글리시리제이트,판테놀,시트릭애씨드,데실글루코사이드,코코-글루코사이드,부틸렌글라이콜,호호바씨오일,맥주효모추출물,바위손추출물,숙근안개초뿌리추출물,인카르나타시계꽃전초추출물,자귀나무껍질추출물,딜추출물,아스코빅애씨드,바이오틴,사이아노코발아민,나이아신아마이드,리보플라빈,다이소듐이디티에이",립&아이리무버
일리윤,일리윤 프레쉬 모이스춰 립앤아이 리무버 300ml,모든피부,"정제수, 사이클로펜타실록세인, 코코넛야자오일, 헥실렌글라이콜, 소듐클로라이드, 코코-카프릴레이트/카프레이트, 라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드, 1,2-헥산다이올, 포타슘포스페이트, 카프릴릴/카프릴글루코사이드, 다이소듐이디티에이, 에틸헥실글리세린, 다이포타슘포스페이트, 부틸렌글라이콜, 유자껍질추출물, 토코페롤",립&아이리무버
포인트앤,[화해 1위] 포인트앤 딥 클린 립 앤 아이 리무버 롱 패드 88매 단독기획 (+7매증정) ,모든피부,"정제수, 세틸에틸헥사노에이트, 사이클로펜타실록세인, 사이클로헥사실록세인, 메틸프로판다이올, 폴록사머184, 다이소듐이디티에이, 소듐벤조에이트, 드럼스틱씨오일, 라우릴피리디늄클로라이드, 하이드록시아세토페논, 부틸렌글라이콜, 레몬껍질오일, 베르가모트오일, 해바라기씨오일, 소듐바이카보네이트, 자몽껍질오일, 센티드제라늄꽃오일, 일랑일랑꽃오일",립&아이리무버
키스미,[1+1기획/마스카라순삭] 키스미 히로인메이크 스피디 마스카라 리무버 더블 기획,모든 피부타입,"아이소헥사데칸, 트라이에틸헥사노인, 아이소도데케인, 미네랄오일, 피이지-15/라우릴다이메티콘크로스폴리머, 부틸렌글라이콜, C30-45알킬메티콘, C30-45올레핀, 토코페롤, 프로필파라벤, 동백나무씨오일, 스위트아몬드오일, 스쿠알란, 아르간커넬오일, 로즈힙열매오일, 인삼추출물, 로얄젤리추출물",립&아이리무버
키스미,[리뉴얼] 키스미 아이 스피디 제로 립앤아이 리무버 패드 30매입,모든피부타입,"정제수, 세틸에틸헥사노에이트, 사이클로펜타실록세인, 사이클로헥사실록세인, 메틸프로판다이올, 글리세린, 소듐벤조에이트, 폴록사머184, 카프릴릴글라이콜, 시트릭애씨드, 폴리글리세릴-6카프릴레이트, 소듐코코일애플아미노산, 로즈마리잎오일, 인삼추출물, 로즈힙열매오일, 스위트아몬드오일, 동백나무씨오일, 아르간커넬오일, 헥실렌글라이콜, 부틸렌글라이콜, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 소듐시트레이트, 테트라소듐글루타메이트다이아세테이트, 하이드로제네이티드레시틴, 타임추출물, 로즈마리추출물, 오레가노꽃/잎/줄기추출물, 라벤더추출물, 세라마이드엔피",립&아이리무버
키스미,[저자극리무버/대용량] 키스미 아이 젠틀 오프 립앤아이 리무버 대용량 300ml,모든피부타입,"정제수, 사이클로펜타실록세인, 다이프로필렌글라이콜, 아이소도데케인, 소듐클로라이드, 펜틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리아이소부텐, 1,2-헥산다이올, 카프릴릴글라이콜, 카프릴릴/카프릴글루코사이드, 클로렐라 불가리스추출물, 글루코오스, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 에틸헥실글리세린, 글리세린, 다이포타슘글리시리제이트, 다이소듐이디티에이, 돌콩추출물, 옥탄다이올, 토코페롤, 소듐하이알루로네이트, 쌀겨오일, 살구씨오일,카프릴릭/카프릭트라이글리세라이드, 마트리카리아꽃추출물
",립&아이리무버
투크,투크 퍼펙트 클린 립앤아이 리무버 100ml,모든 피부 사용,"아이소도데케인, 정제수, 다이메티콘, 다이프로필렌글라이콜, 1,2-헥산다이올, 소듐클로라이드, 부틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 다이포타슘글리시리제이트, 다이소듐이디티에이, 모란뿌리추출물, 알로에베라잎추출물, 녹차추출물, 트로메타민, 황금추출물, 흰버드나무껍질추출물, 락토바실러스/콩발효추출물, 쇠비름추출물, 오레가노잎추출물, 육계나무껍질추출물, 편백잎추출물, 병풀추출물, 호장근뿌리추출물, 스페인감초뿌리추출물, 로즈마리잎추출물, 마트리카리아꽃추출물",립&아이리무버
코스노리,코스노리 마이크로 액티브 비건 립앤아이 리무버 100ml,모든 피부 사용,"정제수, 사이클로펜타실록세인, 아이소헥사데칸, 부틸렌글라이콜, 소듐클로라이드,당아욱추출물, 페퍼민트잎추출물, 서양톱풀추출물, 편백잎추출물, 레몬밤잎추출물, 황산앵초추출물, 스피드웰추출물,레이디스맨틀추출물, 오레가노잎추출물, 흰버드나무껍질추출물, 토코페릴아세테이트, 황금추출물, 육계나무껍질추출물, 락토바실러스/콩발효추출물, 쇠비름추출물, 소듐하이드록사이드, 펜틸렌글라이콜, 해수, 다이소듐이디티에이, 스타아니스추출물, 해바라기씨오일, 글리세린, 카프릴릴글라이콜, 에탄올, 1,2-헥산다이올",립&아이리무버
식물나라,[여행용]식물나라 제주 탄산수 딥 립 앤 아이 리무버 티슈 20매,모든 피부용,"정제수, 사이클로펜타실록세인, 다이프로필렌글라이콜, 에틸헥실팔미테이트, 하이드로제네이티드폴리아이소부텐, 사이클로헥사실록세인, 폴록사머184, 소듐벤조에이트, 카프릴릴글라이콜, 시트릭애씨드, 온천수, 다이소듐이디티에이, 메틸프로판다이올, 글리세린, 1,2-헥산다이올, 에틸헥실글리세린",립&아이리무버
일리윤,일리윤 프레쉬 모이스춰 립앤아이 리무버 [150ml],모든피부,"정제수, 사이클로펜타실록산, 코코넛오일, 인삼추출물, 유자껍질추출물, 의이인추출물, 디소 듐이디티에이, 디포타슘포스페이트, 라우릴메칠글루세스-10하이드록시프로필디모늄클로라이드, 부틸렌글라이콜, 소듐클로라이드, 카프릴릴/카프릴글루코사이드, 코코-카프릴레이트/카프레이트, 포타슘포스페이트, 헥실렌글라이콜, 에칠헥실글리세린, 페녹시에탄올",립&아이리무버
이브로쉐,이브로쉐 퓨어블루에 더 익스프레스 메이크업 리무버 100ml_NEW,모든 피부용,"정제수, C13-15알케인, 프로필렌글라이콜, 운데케인, 아이소프로필미리스테이트, 트라이데케인, C9-12알케인, 퀸즈랜드넛오일, 소듐클로라이드, 벤질알코올, 살리실릭애씨드, 페네틸알코올, 카프릴릴/카프릴글루코사이드, 포타슘하이드록사이드, 수레국화꽃추출물(0.0125%), 토코페롤, 시트릭애씨드, 녹색202호
",립&아이리무버
폰즈,[나띠 PICK] 폰즈 클리어 스파 립앤아이 리무버 (본품300ml+120ml),모든 피부용,정제수@사이클로펜타실록세인@아이소헥사데칸@아이소도데케인@헥실렌글라이콜@소듐클로라이드@다이소듐이디티에이@폴록사머184@페녹시에탄올@소듐시트레이트@벤질알코올@벤잘코늄클로라이드@시트릭애씨드@구주소나무잎추출물@다이포타슘글리시리제이트@효모/아연발효물@효모/마그네슘발효물@포도씨추출물@녹차추출물@녹색202호,립&아이리무버
바닐라코,[단독대용량] 바닐라코 립 앤 아이 리무버 클리어 250ml,모든 타입,"정제수, 아이소헥사데칸, 아이소도데케인, 프로필렌글라이콜, 브로콜리추출물, 귀리커넬추출물, 소듐하이알루로네이트,
소듐클로라이드, 알지닌, 다이소듐이디티에이, 페녹시에탄올, 벤잘코늄클로라이드, 청색1호
",립&아이리무버
아리얼,아리얼 스트레스 릴리빙 미셀라 립앤아이 리무버 300ml,모든 피부용,"정제수, 세틸에틸헥사노에이트, 아이소도데케인, 1,2-헥산다이올, 판테놀, 황련뿌리추출물, 부틸렌글라이콜, 스테아트라이모늄메토설페이트, 아이소프로필알코올, 소듐시트레이트, 시트릭애씨드, 병풀추출물, 호장뿌리추출물, 황금추출물, 녹차추출물, 스페인감초뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 알로에베라잎추출물, 모란뿌리추출물, 다이소듐이디티에이",립&아이리무버
