Text,Text1,Text2,Text3,Text4
포인트앤,포인트앤 딥 클린 올킬 클렌징 티슈 20매,모든 피부 타입,"정제수, 메틸프로판다이올, 폴리글리세릴-4카프레이트, 폴록사머184, 카프릴릭/카프릭트라이글리세라이드, 아이소프로필미리스테이트, 다이소듐이디티에이, 소듐벤조에이트, 라우릴피리디늄클로라이드, 하이드록시아세토페논, 부틸렌글라이콜, 시트릭애씨드, 해수, 온천수, 탄산수, 드럼스틱씨오일, 라벤더오일, 1,2-헥산다이올, 로즈마리잎오일, 해바라기씨오일, 소듐바이카보네이트, 소듐하이알루로네이트, 글리세린, 레몬껍질오일, 유칼립투스잎오일, 살비아오일, 펜틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린",클렌징티슈/패드
포인트앤,[대용량] 포인트앤 베지 시카 말끔 클렌징 워터 티슈 100매,모든 피부 타입,"정제수, 아이소펜틸다이올, 폴리글리세릴-4카프레이트, 부틸렌글라이콜, 다이소듐이디티에이, 소듐벤조에이트, 데실글루코사이드, 다이에톡시에틸석시네이트, 라우릴피리디늄클로라이드, 하이드록시아세토페논, 코코-글루코사이드, 글리세린, 양배추추출물(400,000ppb), 토마토추출물(300,000ppb), 케일잎추출물(300,000ppb), 시트릭애씨드, 1,2-헥산다이올, 병풀추출물(100,000ppb), 소듐바이카보네이트, 흰버드나무껍질추출물, 소듐하이알루로네이트, 콘민트오일, 유칼립투스잎오일, 로즈마리잎오일, 하이드로제네이티드포스파티딜콜린, 카프릴릭/카프릭트라이글리세라이드, 수크로오스스테아레이트, 세테아릴알코올, 아시아티코사이드(1ppb), 마데카식애씨드(1ppb), 마데카소사이드(1ppb), 아시아틱애씨드(0.5ppb)",클렌징티슈/패드
에딧비,[NEW/딥클렌징] 에딧비 조이풀 하트 올인원 클렌징패드 30매,모든 피부 타입,"정제수, 세틸에틸헥사노에이트, 메틸프로판다이올, 폴리글리세릴-6카프릴레이트, 폴리글리세릴-10라우레이트, 소듐벤조에이트, 판테놀, 알란토인, 카프릴릴글라이콜, 시트릭애씨드, 다이포타슘글리시리제이트, 소듐시트레이트, 해바라기씨오일, 아보카도오일, 살구씨오일, 부틸렌글라이콜, 1,2-헥산다이올, 포도추출물, 버지니아풍년화추출물, 녹차추출물, 얌빈뿌리추출물, 꽃양배추추출물, 당아욱잎추출물, 아이슬란드이끼추출물, 칼라민",클렌징티슈/패드
비페스타,[NEW]비페스타 미셀라 클렌징 티슈 퍼펙트 글로우 46매,모든피부타입,"정제수, 에탄올, 글리세린, 피이지-7글리세릴코코에이트, 피이지-6카프릴릭/카프릭글리세라이즈, 페녹시에탄올, 메틸파라벤, 폴리글리세릴-3카프릴레이트, 폴리글리세릴-6다이카프레이트, 소듐시트레이트, 소듐스테아로일글루타메이트, 다이소듐이디티에이, 비스-글리세릴아스코베이트, 시트릭애씨드, 부틸렌글라이콜, 하이드롤라이즈드콜라겐, 하이드롤라이즈드하이알루로닉애씨드, 유자추출물",클렌징티슈/패드
셀리맥스,셀리맥스 지우개 원스텝 마일드 클렌징 패드 60pads,모든 피부 타입,"정제수, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 약모밀추출물, 글리세레스-25피씨에이아이소스테아레이트, 판테놀, 1,2-헥산다이올, 폴리글리세릴-6카프릴레이트, 폴록사머407, 알란토인, 폴리글리세릴-4카프레이트, 에틸헥실글리세린, 자몽추출물, 카프릴릴글라이콜, 다이소듐이디티에이, 펜틸렌글라이콜, 데실글루코사이드, 프로판다이올, 오미자추출물, 들깨잎추출물, 창포뿌리추출물, 소듐하이알루로네이트, 다이아이소프로필아디페이트, 레시틴, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 아크릴릭애씨드/아크릴아미도메틸프로판설포닉애씨드코폴리머, 시트릭애씨드, 하이알루로닉애씨드, 글리세릴카프릴레이트, 다이메틸메톡시크로만올, 잔탄검, 하이드롤라이즈드소듐하이알루로네이트",클렌징티슈/패드
궁중비책,궁중비책 마일드 선클렌징 티슈 30매,보통 피부,"정제수, 헥실렌글라이콜, 복사나무잎추출물, 매실추출물, 뽕나무잎추출물, 회화나무뿌리추출물, 흰버드나무껍질추출물, 병풀추출물, 팥추출물, 연꽃추출물, 귀리커넬오일, 사이클로펜타실록세인, 사이클로헥사실록세인, 글리세린, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 에틸헥실팔미테이트, 폴리솔베이트20, 카프릴릴글라이콜, 소듐벤조에이트(0.45%), 에틸헥실글리세린, 시트릭애씨드, 향료
",클렌징티슈/패드
아리얼,[소이현PICK / 비건인증]아리얼 더 퍼펙트 클렌징 오일 패드 EX 60매,모든피부용,"정제수 사이클로펜타실록세인  세틸에틸헥사노에이트  아이소도데케인  폴리글리세릴-6다이카프레이트  포타슘솔베이트  아크릴레이트/C10-30알킬아크릴레이트크로스폴리머  치자추출물  베르가모트오일  다이소듐이디티에이  덱스트린  달맞이꽃오일  로즈힙열매오일  마카다미아씨오일  스쿠알란  아르간커넬오일  아보카도오일  올리브오일  포도씨오일  해바라기씨오일  호호바씨오일  양까막까치밥나무씨오일  약모밀추출물  부틸렌글라이콜  레몬껍질오일  병풀추출물  오렌지껍질오일  라임전초오일  1,2-헥산다이올  구주소나무잎오일  퀼라자껍질추출물  비누풀추출물  모하비유카뿌리추출물  바이오틴  판테놀 유칼립투스잎오일  매실추출물  사과추출물  파파야열매추출물  포도추출물  라벤더추출물  타임추출물  로즈마리추출물  오레가노꽃/잎/줄기추출물  파파인  하이알루로닉애씨드 카프릴릴글라이콜  에틸헥실글리세린  리날룰  리모넨",클렌징티슈/패드
정샘물,정샘물 더블 클린 수정 화장 패드 20매,모든피부용,"정제수, 1,2-헥산다이올, 글리세린, 피이지-6카프릴릭/카프릭글리세라이즈, 부틸렌글라이콜, 프로판다이올, 하이드록시아세토페논, 헥실렌글라이콜, 알란토인, 다이소듐이디티에이, 향료, 레몬밤잎추출물, 복숭아추출물, 말토덱스트린, 캐모마일꽃추출물, 하이드롤라이즈드식물성단백질, 라임추출물, 시트릭애씨드, 알루미늄전분옥테닐석시네이트, 에이엠피-아크릴레이트/알릴메타크릴레이트코폴리머, 에델바이스추출물, 연꽃추출물, 프로방스장미꽃추출물, 프리지어추출물, 동백나무꽃추출물, 스피룰리나 플라텐시스추출물",클렌징티슈/패드
포인트앤,*모든 원료 비건* 포인트앤 딥 클린 올인원 클렌징 티슈 80매,모든피부,"정제수, 부틸렌글라이콜, 폴리글리세릴-10라우레이트, C12-15알킬벤조에이트, 카프릴릭/카프릭트라이글리세라이드, 소듐벤조에이트, 글리세레스-26, 클로페네신, 드럼스틱씨오일, 트레할로오스, 시트릭애씨드, 다이소듐이디티에이, 전판홍경천뿌리추출물, 서양송악잎/줄기추출물, 복륜산산세비에리아잎추출물, 레몬껍질오일, 베르가모트오일, 1,2-헥산다이올, 해바라기씨오일, 자몽껍질오일, 센티드제라늄꽃오일, 일랑일랑꽃오일",클렌징티슈/패드
오브제,오브제 원스텝 포어 클렌징시트 135g (32매입),모든타입,"정제수@아이소프로필팔미테이트@메틸프로판다이올@폴리글리세릴-6카프릴레이트@하이드록시아세토페논@판테놀@동백나무꽃추출물@대왕송잎추출물@당느릅나무뿌리추출물@달맞이꽃추출물@칡뿌리추출물@하이드로제네이티드포스파티딜콜린@카프릴릭/카프릭트라이글리세라이드@아시아티코사이드@마데카식애씨드@아시아틱애씨드@병풀추출물@수크로오스스테아레이트@마데카소사이드@콜레스테롤@마트리카리아잎추출물@베르가못잎추출물@애플민트잎추출물@감나무잎추출물@바질잎추출물@들깨잎추출물@베타인@알란토인@다이포타슘글리시리제이트@시트릭애씨드@소듐시트레이트@락토바이오닉애씨드@에틸헥실글리세린@1,2-헥산다이올@향료
",클렌징티슈/패드
